comment_id,translated_comment_text,like_count,search_query,label,concatenated_text,sentiment_label,sentiment_score,named_entities,num_named_entities,cluster
1,"PRETTY WOMAN IMEE R. MARCOS FIGTH TO WIN FOR SENATOR,SALUTE ME SAYO SENADOR IMEE R.MARCOS👏👏👏✌️✌️✌️💪💪💪🙋🙋🙋💖💖💖🙏🙏🙏",0,Imee Marcos,A,"Imee Marcos: PRETTY WOMAN IMEE R. MARCOS FIGTH TO WIN FOR SENATOR,SALUTE ME SAYO SENADOR IMEE R.MARCOS👏👏👏✌️✌️✌️💪💪💪🙋🙋🙋💖💖💖🙏🙏🙏",LABEL_0,0.6822762489318848,"[('Imee Marcos', 'PERSON'), ('SENATOR', 'ORG'), ('SALUTE ME SAYO SENADOR IMEE R.MARCOS', 'ORG'), ('✌', 'LOC'), ('✌', 'LOC'), ('💖💖', 'FAC'), ('🙏', 'GPE'), ('🙏', 'ORG')]",8,19
2,users know that,0,Imee Marcos,A,Imee Marcos: users know that,LABEL_0,0.6023503541946411,"[('Imee Marcos', 'PERSON')]",1,5
3,Solid duterte line up 2025,0,Imee Marcos,A,Imee Marcos: Solid duterte line up 2025,LABEL_0,0.6102293729782104,"[('Imee Marcos', 'PERSON'), ('2025', 'DATE')]",2,5
4,Tama this bais cla all sng to use to turn around in the way.,0,Imee Marcos,A,Imee Marcos: Tama this bais cla all sng to use to turn around in the way.,LABEL_0,0.6219285130500793,"[('Imee Marcos', 'PERSON')]",1,5
5,Solid Duterte lineup  no vote for marcos ...,0,Imee Marcos,A,Imee Marcos: Solid Duterte lineup  no vote for marcos ...,LABEL_0,0.726513683795929,"[('Imee Marcos', 'PERSON'), ('Solid Duterte', 'ORG'), ('marcos', 'PERSON')]",3,5
6,"He is not president yet, I know that he will respond to the people.",0,Imee Marcos,A,"Imee Marcos: He is not president yet, I know that he will respond to the people.",LABEL_0,0.7607808113098145,"[('Imee Marcos', 'PERSON')]",1,5
7,Protected the congressman's opponent of Tambaloslos is difficult.,0,Imee Marcos,A,Imee Marcos: Protected the congressman's opponent of Tambaloslos is difficult.,LABEL_0,0.7435380816459656,"[('Imee Marcos', 'PERSON'), ('Tambaloslos', 'ORG')]",2,4
8,"Yes..
",0,Imee Marcos,A,"Imee Marcos: Yes..
",LABEL_0,0.7101398706436157,"[('Imee Marcos', 'PERSON')]",1,5
9,IMEE MARCOS HAHAHA,0,Imee Marcos,A,Imee Marcos: IMEE MARCOS HAHAHA,LABEL_0,0.6727834343910217,"[('Imee Marcos', 'PERSON'), ('IMEE MARCOS', 'PERSON')]",2,5
10,"Those people who sold bones need to be jailed. Romauldez ñayan Mr. Romauldez buys bones every voter 14,
",0,Imee Marcos,A,"Imee Marcos: Those people who sold bones need to be jailed. Romauldez ñayan Mr. Romauldez buys bones every voter 14,
",LABEL_0,0.7587147355079651,"[('Imee Marcos', 'PERSON'), ('Romauldez', 'PERSON'), ('14', 'CARDINAL')]",3,19
11,Babalina Utility Balimbing Traitor Don't Vote Never Again Marcos Team Bangag 👎😹😹,0,Imee Marcos,A,Imee Marcos: Babalina Utility Balimbing Traitor Don't Vote Never Again Marcos Team Bangag 👎😹😹,LABEL_0,0.6307376623153687,"[('Imee Marcos', 'PERSON'), ('😹😹', 'PERSON')]",2,19
12,revilla thief.and jinggoy.there are.case cla then ag ping.lacson,0,Imee Marcos,A,Imee Marcos: revilla thief.and jinggoy.there are.case cla then ag ping.lacson,LABEL_0,0.6642411947250366,"[('Imee Marcos', 'PERSON')]",1,3
